"press","date","title","summary","pressUrl","naverUrl","journalist","createdDate","updatedDate","body","category","commentCount","comments"
"이데일리","2023-07-31","교학사·코더블, AI 디지털 교과서 개발 위한 협약 체결","교육 출판사 교학사와 AI 코딩교육 기업 코더블은 2022 개정 교육과정에 부합하는 AI 디지털 교과서 개발을 위한 협력관계를 구축하기로 합의했다고 31일 밝혔다. 이번 협약은 2022 개정 교육과정에 맞추어 AI 디지털 교과서 정보 교과에 대해 공동 개발을 목표로 하며, 학생들의 AI와 디지털 기술에 대한...","http://www.edaily.co.kr/news/newspath.asp?newsid=02679766635680096","https://n.news.naver.com/mnews/article/018/0005541258?sid=105","이윤정(yunj725@edaily.co.kr)","2023-07-31 15:07:01","2023-07-31 15:07:01","[이데일리 이윤정 기자] 교육 출판사 교학사와 AI 코딩교육 기업 코더블은 2022 개정 교육과정에 부합하는 AI 디지털 교과서 개발을 위한 협력관계를 구축하기로 합의했다고 31일 밝혔다. (사진=코더블) 이번 협약은 2022 개정 교육과정에 맞추어 AI 디지털 교과서 정보 교과에 대해 공동 개발을 목표로 하며, 학생들의 AI와 디지털 기술에 대한 이해와 실질적인 코딩 능력 향상에 초점을 맞추고 있다. 교학사와 코더블은 교학사의 정보 교과서 개발 노하우를 코더블의 실과 정보 교과에 특화된 AI 코스웨어 플랫폼 ‘코짐(CoGym)’에 적용해 AI 디지털 교과서 개발에 적극적으로 참여하기로 업무협약을 맺었다. 양진오 교학사 대표이사는 “이번 협약을 통해 2022 개정 교육과정에 맞춘 AI 디지털 교과서를 성공적으로 개발할 예정”이라며 “학생들은 본 교과서를 통해 AI와 디지털 기술에 대해 깊게 이해하고, 이를 실생활에 적용할 기회를 얻게 될 것”이라고 말했다. 김기만 코더블 대표이사는 “이번 협약은 AI 디지털 교과서를 통해 미래 세대에게 필요한 정보교육을 더 가치 있게 만드는 데 큰 도움이 될 것”이라며 “코더블의 피지컬 컴퓨팅 관련 노하우와 실과 정보 교과에 특화된 코짐(CoGym) AI 코스웨어(LMS)로 국내 시장뿐만 아니라 해외 시장에도 도전하는 큰 계기가 마련됐다”고 강조했다. (사진=코더블) 코더블이 개발·보급하고 있는 ‘코짐(CoGym)’ 플랫폼은 코딩, AI 교육, IoT 교육, 교과 연계 활동, 교내 대회 운영 등이 모두 가능한 실과 정보 교과용 LMS로, 코더블의 9년간의 현장에 적용했던 콘텐츠와 안정적인 피지컬 컴퓨팅 지원, 엔트리, 스크래치, 파이썬 코딩 환경 지원 등 교실 현장에 꼭 필요한 기능으로 구성되었다. 본 협약을 통해 개발되는 AI 디지털 교과서는 오는 2025년 학교 현장에 적용될 예정이며, 이를 통해 학생들이 디지털 시대에 필요한 역량을 학교 안에서 더욱 효과적으로 배울 수 있게 될 것으로 기대된다.","IT",0,"[]"
"데일리경제","2023-07-31","교육출판사 교학사, 코딩교육기업 코더블과 AI 디지털교과서 공동개발 ...","","http://www.kdpress.co.kr/news/articleView.html?idxno=121492","",,,,,,,
"한국경제","2023-07-30","박정과 천재교과서 대표 ""AI 교과서로 전환은 교육혁신 모멘텀 될 것""","AI 디지털 교과서 영역에 대해서도 자신감을 내비쳤다. 박 대표는 “AI 교과서의 핵심은 개별화 학습인데, 그동안 밀크T 서비스를 통해 쌓은 방대한 양의 문제 데이터베이스와 학생들에 대한 빅데이터가 있다”고 설명했다. 천재교과서는 2007개정부터 2009개정, 2015개정까지 3개 교육과정에서 초·중·고 통합...","https://www.hankyung.com/society/article/2023073025011","https://n.news.naver.com/mnews/article/015/0004874107?sid=102","이혜인 기자","2023-07-30 17:57:01","2023-07-30 17:57:01","에듀테크에 인력 500명 투입 업계 최대 'IT교육센터' 운영 '밀크T'로 축적한 DB 적극활용 AI 디지털 교과서 시장 선도 “디지털 인공지능(AI) 교과서로의 전환은 교육 혁신의 모멘텀이 될 것입니다.” 지난달 22일 서울 금천구 천재교육 본사에서 만난 박정과 천재교과서 대표(사진)는 “천재교과서는 서책형 교과서 기업에서 정보기술(IT) 기업으로 변모하고 있다”며 빠르게 변하는 교육 환경에 대한 자신감을 드러냈다. 천재교과서는 에듀테크 기업으로 변화하기 위해 빠른 속도로 체질을 개선했다. 모기업인 천재교육은 2015년 에듀테크 센터를, 2018년 AI 센터를 마련했다. 현재 천재교육·교과서의 디지털 사업 관련 인력은 500명에 육박한다. 박 대표는 “높은 교과서 점유율을 기반으로 밀크T 같은 사업에 선도적으로 투자해 확장, 고도화하는 과정에서 우수한 인재를 확보할 수 있었다”고 말했다. 업계 최대 규모의 IT교육센터를 운영하면서 IT 인력이 에듀테크 전문가로 성장할 수 있도록 지원하고 있기도 하다. 박 대표는 디지털 전환과 AI는 시대의 큰 흐름이라고 강조했다. 그는 “해외 사례를 보더라도 맥그로힐, 피어슨 같은 글로벌 대형 출판기업들도 오래전부터 디지털과 AI에 관심을 기울여 지금은 다양한 에듀테크 서비스를 제공하고 있다”며 “출판과 에듀테크가 따로 떨어진 영역이 아니라 이미 융합적인 영역이 됐다”고 말했다. AI 디지털 교과서 영역에 대해서도 자신감을 내비쳤다. 박 대표는 “AI 교과서의 핵심은 개별화 학습인데, 그동안 밀크T 서비스를 통해 쌓은 방대한 양의 문제 데이터베이스와 학생들에 대한 빅데이터가 있다”고 설명했다. 천재교과서는 2007개정부터 2009개정, 2015개정까지 3개 교육과정에서 초·중·고 통합 점유율 1위를 기록하고 있다. 박 대표는 점유율 1등의 비결로 ‘양질의 콘텐츠와 책임감’을 꼽았다. 모든 학교에서 쓰는 공통 교과서뿐만 아니라 개발을 기피하는 선택 교과서도 만든다. 직업계고에서 사용하는 전문 교과서와 초·중·고교용 독도교과서도 공급하고 있다. 시대의 흐름에 맞게 교사가 교실에서 활용할 수 있는 다양한 수업도구를 개발해온 것도 이 회사의 자부심이다. ‘T셀파’는 초·중·고 전 학년, 전 과목에 걸쳐 수업에 필요한 콘텐츠를 제공해 교사의 질 높은 수업 설계를 돕는 무료 교수학습지원 서비스다. ‘클래스링크’를 통해서는 태블릿을 이용해 실시간으로 학습 내용을 공유하고 소통할 수 있다. ‘클래스핑퐁’은 교사가 직접 제작한 퀴즈나 워크시트를 온·오프라인으로 활용해 학생들의 수업 참여도를 높이도록 돕는다. 박 대표는 “천재교과서에 에듀테크는 현재이면서 미래”라고 강조했다. 글=이혜인 기자/사진=임대철 기자 hey@hankyung.com","사회",0,"[]"
"뉴시스","2023-07-26","에스아이지, 성결대 XR센터와 AI·XR 교육 협력","이를 통해 다양한 교육과 창업 프로그램을 개발해 지역사회에 이바지할 수 있을 것으로 기대했다. XR 기술은 체감형 교육 콘텐츠의 핵심기술로, AI 기술과 함께 디지털교과서 등 체감형 미디어에 적용되면 학습효과를 극대화 시킬 수 있어 최근 주목받고 있다.","http://www.newsis.com/view/?id=NISX20230726_0002390601&cID=15001&pID=15000","https://n.news.naver.com/mnews/article/003/0011995570?sid=101","이지영 기자","2023-07-26 09:03:03","2023-07-26 09:03:03","(사진제공=에스아이지) *재판매 및 DB 금지 [서울=뉴시스]이지영 기자 = 에스아이지가 성결대학교 XR센터와 AI 및 확장현실(XR) 소프트웨어 분야 관련 인재 양성을 위한 업무 협약을 체결했다고 26일 밝혔다. 에스아이지는 자사 교육 플랫폼 구축 기술을 바탕으로 성결대학교 XR센터의 체감형 기술을 융합해 차세대 AI·XR 교재·교구재 개발 및 교육에서 성결대학교 XR센터와 협력해 나갈 계획이다. 성결대학교 XR센터는 XR 기술 기반 교육 사업 등으로 다져진 차세대 미디어 교육 경험을 바탕으로, 에스아이지의 AI 기술을 결합한 교재·교구재 개발에 협력한다. 이를 통해 다양한 교육과 창업 프로그램을 개발해 지역사회에 이바지할 수 있을 것으로 기대했다. XR 기술은 체감형 교육 콘텐츠의 핵심기술로, AI 기술과 함께 디지털교과서 등 체감형 미디어에 적용되면 학습효과를 극대화 시킬 수 있어 최근 주목받고 있다.","경제",0,"[]"
"이데일리","2023-07-26","에스아이지, 성결대학교XR센터와 ‘AI·XR 교육’ 협력","","http://www.edaily.co.kr/news/newspath.asp?newsid=01682646635678456","https://n.news.naver.com/mnews/article/018/0005537922?sid=101","김응태 기자","2023-07-26 09:53:05","2023-07-26 09:53:05","[이데일리 김응태 기자] 디지털 에듀테크 인공지능(AI) 전문기업 에스아이지(SIG)가 성결대학교XR센터와 ‘AI 및 확장현실(XR) 소프트웨어 분야 관련 인재 양성’을 위한 업무협약을 체결했다고 26일 밝혔다. (왼쪽부터) 손범우 에스아이지 플랫폼사업본부장과 박성준 성결대학교 XR센터 센터장이 AI·XR 융합 교육 콘텐츠·교구 개발과 공동연구에 관한 협약을 체결했다. (사진=에스아이지) 에스아이지는 자사 교육 플랫폼 구축 기술을 바탕으로 성결대학교XR센터의 체감형 기술을 융합해, 차세대 AI·XR 교재 및 교구재 개발 등에서 협력할 계획이다. 이를 통해 다양한 교육과 창업 프로그램을 선보여 지역사회에 이바지할 수 있을 것으로 기대하고 있다. XR은 체감형 교육 콘텐츠의 핵심 기술로, AI 기술과 함께 디지털교과서 등 체감형 미디어에 적용되면 학습 효과를 극대화할 수 있다. 특히 헤드 마운트 디스플레이(HMD)나 증강현실 (AR) 글래스, 머리전달함수(HRTF) 적용 3D 입체음향 헤드폰 등 교구재와 함께 사용하면 현장감 있는 영상과 음향으로 콘텐츠를 만들 수 있다. 에스아이지는 XR과 AI 기술과 결합해 오감을 이용하는 새로운 형태의 교육용 콘텐츠 개발이 가능한 만큼, 이를 활용한 디지털교과서 및 교육용 미디어 사업에도 진출할 구상이다. 이희규 에스아이지 대표이사는 “에스아이지와 성결대학교 XR 센터의 협업으로 한 단계 발전한 체감형 AI 교육 콘텐츠를 개발해, 교육용 미디어 산업 발전에 이바지할 수 있기를 기대한다”고 말했다.","경제",0,"[]"
"아이뉴스24","2023-07-26","에스아이지, 성결대학교 XR센터와 AI·XR 교육 협력","","http://www.inews24.com/view/1616499","https://n.news.naver.com/mnews/article/031/0000761395?sid=101","오경선 기자 seono@inews24.com","2023-07-26 09:35:01","2023-07-26 09:35:01","교육 콘텐츠 개발·운영 협력 디지털 에듀테크 인공지능(AI) 전문기업 에스아이지(SIG)는 성결대학교 XR센터와 AI, 확장현실(XR) 소프트웨어 분야 관련 인재 양성을 위한 업무 협약을 체결했다고 26일 밝혔다. 에스아이지(SIG)가 성결대학교 XR센터와 AI, 확장현실(XR) 소프트웨어 분야 관련 인재 양성을 위한 업무 협약을 체결했다. [사진=에스아이지] 에스아이지는 자사 교육 플랫폼 구축 기술을 바탕으로 성결대학교 XR센터의 체감형 기술을 융합할 계획이다. 이를 통해 차세대 AI·XR 교재·교구재 개발과 교육 부문에서 협력해 나간다는 전략이다. XR 기술은 체감형 교육 콘텐츠의 핵심기술로, AI 기술과 함께 디지털교과서 등 체감형 미디어에 적용되면 학습효과를 극대화 시킬 수 있어 최근 주목받고 있다. 특히 헤드 마운트 디스플레이(HMD, Head Mounted Display)나 증강현실 (AR, Augmented Reality) 글래스, 머리전달함수(HRTF, Head Related Transfer Function) 적용 3D 입체음향 헤드폰 등 교구재와 함께 사용하게 되면 현장감 있는 영상과 임장감 있는 음향을 통해 역사 교육과 기술 교육에서 강력한 콘텐츠를 개발할 수 있다. 에스아이지는 XR 기술을 음성인식과 음성분석 등 AI 기술과 결합하면 오감을 이용하는 새로운 형태의 교육용 콘텐츠를 개발할 수 있을 것으로 봤다. 이러한 판단을 바탕으로 오감으로 체험할 수 있는 XR과 AI를 융합해 재미와 학습효과를 더해 주는 차세대 교육용 미디어를 개발하고, 이를 활용한 디지털교과서와 교육용 미디어 사업에 진출할 계획이다. 이희규 에스아이지 대표는 ""에스아이지와 성결대학교 XR 센터의 협업으로 한 단계 발전한 체감형 AI 교육 콘텐츠를 개발해, 교육용 미디어 산업 발전에 이바지할 수 있길 기대한다""고 말했다. 한편 에스아이지는 지난 2019년 설립된 디지털 에듀테크 AI 전문 기업으로, 연내 코스닥 시장 상장을 목표로 키움증권과 대표주관계약을 체결했다.","경제",0,"[]"
"뉴스핌","2023-07-26","에스아이지, 성결대학교 XR센터와 AI·XR 교육 협력","","http://www.newspim.com/news/view/20230726000147","",,,,,,,
"정보통신신문","2023-07-26","에스아이지, 성결대학교 XR센터와 AI·XR 교육 협력","","http://www.koit.co.kr/news/articleView.html?idxno=115384","",,,,,,,
"한국경제","2023-07-25","YBM, 스타트업 손 잡고 'AI 영어 교과서' 개발 추진","연내엔 이를 바탕으로 문법, 쓰기, 말하기 등 전 모든 영어 학습 영역에서 활용할 수 있는 AI 디지털교과서를 제작한다. 라이브데이터는 지난달 YBM과 수학 과목 AI 엔진 공급 계약을 체결한 바 있다. 이번 MOU는 제휴 확대 차원이다. AI 디지털교과서는 최근 교육부에서 도입 청사진을 밝힌 바 있다....","https://www.hankyung.com/society/article/202307259714i","https://n.news.naver.com/mnews/article/015/0004872126?sid=102","이시은 기자","2023-07-25 10:14:01","2023-07-25 10:16:03","YBM과 라이브데이터의 GPT 기반 공동 서비스 개발 업무협약(MOU) 현장. 라이브데이터 제공 인공지능(AI) 진단·추천 솔루션 스타트업 라이브데이터가 YBM과 'GPT를 활용한 AI 영어 진단 및 추천 서비스 공동 개발을 위한 업무협약(MOU)'을 체결했다고 25일 발표했다. 양사는 먼저 GPT 자동 태깅 기능을 통해 차별화된 영어 지식맵을 구축한다는 계획이다. 연내엔 이를 바탕으로 문법, 쓰기, 말하기 등 전 모든 영어 학습 영역에서 활용할 수 있는 AI 디지털교과서를 제작한다. 라이브데이터는 지난달 YBM과 수학 과목 AI 엔진 공급 계약을 체결한 바 있다. 이번 MOU는 제휴 확대 차원이다. AI 디지털교과서는 최근 교육부에서 도입 청사진을 밝힌 바 있다. 사용자의 학습 상태를 판단하고, AI가 맞춤형 학습을 지원하는 것이 해당 교과서가 갖춘 주요 기능이다. 교육부는 2025년까지 수학과 영어, 정보 교과에 AI 디지털교과서를 우선 도입한다는 방침이다. YBM 관계자는 ""지식맵과 표준화 AI 진단 서비스가 개발되면 학교 현장과 영어 교육 시장에서 개인 맞춤형 최적화 교육이 가능해질 것""이라며 ""영어뿐만 아니라 다양한 언어 학습에도 AI 적용될 것이 기대된다""고 전했다. 박수정 라이브데이터 대표는 ""GPT 기반 지식맵 구축을 통해 기술력을 선보이고, AI 디지털교과서 시장을 선도하겠다""고 말했다.","사회",0,"[]"
"디지털투데이","2023-07-25","라이브데이터-YBM, GPT 활용 AI 영어 디지털교과서 공동 개발 협력","기존 지식맵과 지식추적이 세포수준 정밀도를 가지고 있다면 GPT 오토태거로 만든 지식맵은 DNA 수준 정밀도를 가질 것이라고 양사는 기대했다. 양사는 올해 안에 정식 계약을 맺고 영어 과목 문법, 쓰기, 말하기, 듣기 등 전영역에서 활용할 수 있는 AI 디지털교과서 제작으로 협력을 확장해 갈 계획이다.","http://www.digitaltoday.co.kr/news/articleView.html?idxno=482748","",,,,,,,
