"press","date","title","summary","pressUrl","naverUrl","journalist","createdDate","updatedDate","body","category","commentCount","comments"
"IT조선","2024-04-29","라이브데이터·동아출판, 'AI진단' 서비스 오픈","동아출판의 AI 디지털교과서 보조출원자인 라이브데이터는 2025년 AI 디지털교과서 도입에 앞서 AI 기반 맞춤형 진단 평가 및 실시간 튜터 시스템을 두클래스에서 선보였다. 교사들은 학생들에게 AI진단 평가를 실시해 집체교육 현장에서 쉽고 빠르게 학급의 종합 결과를 확인하고, 수집된 학습데이터로...","https://it.chosun.com/news/articleView.html?idxno=2023092114592","",,,,,,,
"AI타임스","2024-04-29","라이브데이터-동아출판, 맞춤형 수학 평가 'AI진단' 오픈","","https://www.aitimes.com/news/articleView.html?idxno=159193","",,,,,,,
"인공지능신문","2024-04-29","라이브데이터-동아출판, 개인 맞춤형 진단테스트 두클래스 'AI진단' 서비...","","https://www.aitimes.kr/news/articleView.html?idxno=31057","",,,,,,,
"머니투데이","2024-04-29","셀바스AI, AI엑스포 참가 ""온디바이스 음성기술 및 기술 사례 소개""","이외에도 △AI OCR 엔진과 문서·이미지 모델이 결합한 웹 서비스 '셀비 OCR 스튜디오 (Selvy OCR Studio)' △AI 오디오북 Editor가 탑재된 인공지능 음성 콘텐츠 제작 서비스 '오디로(odiro)' △맞춤형 디지털교과서 교수o학습 플랫폼 '셀펍(Selpub)' △고등수식과 받아쓰기 학습 기능이 추가된 AI 교육 필기 인식...","http://news.mt.co.kr/mtview.php?no=2024042909291085535","https://n.news.naver.com/mnews/article/008/0005031728?sid=101","김건우 기자","2024-04-29 09:33:24","2024-04-29 09:34:01","인공지능 전문기업 셀바스AI가 '국제인공지능대전(AI EXPO KOREA 2024)'에서 온디바이스(On-Device) 음성 기술을 공개한다고 29일 밝혔다. 셀바스AI는 5월 1일부터 3일까지 서울 코엑스에서 열리는 이번 전시회에서 'TREND.X'를 슬로건으로 내걸고, 트렌디한 AI 기술로 다양한 고객과 함께 비즈니스 현장에서 만들어 나가고 있는 디지털 전환 사례를 소개한다. 일반적인 온디바이스AI는 특정 하드웨어에서만 사용할 수 있지만, 셀바스AI의 온디바이스(On-Device) 음성기술은 단말기는 물론 앱서비스에서도 활용 가능하다는 것이 가장 큰 특징이다. 음성기술 경량화를 통해 스마트폰, 태블릿, 노트북, 키오스크, 로봇 등 다양한 디바이스에 광범위하게 적용할 수 있다. 특히 서버 및 클라우드 연결이 불필요해 민감 정보의 안전한 보호를 보장하는 것은 물론 인터넷 환경과 무관한 안정적인 서비스 제공을 할 수 있다. 해당 기술은 AI엑스포 셀바스AI 부스 내 온디바이스 음성기술 섹션에서 직접 체험해볼 수 있다. 셀바스AI 음성기술은 이미 국내 350여 고객사가 사용하고 있다. 이와 함께 AI 음성인식 기술로 각 산업현장에서 상용화 중인 DX(디지털 전환)의 구체적인 상용화 사례도 소개한다. 특히 셀바스AI는 키보드를 대체하는 입력기인 음성인식 기술이 각 산업에서 실질적으로 어떻게 업무 효율화를 실현했는지를 중점적으로 선보일 예정이다. 주요 제품으로는 공공, 상담, 법률 분야의 문서 작성 효율화를 위한 AI 음성기록 제품 '셀비 노트(Selvy Note)', 디지털 교육 환경에서 영어 교육을 돕는 AI 교육 음성인식 솔루션 '셀비 스피치에듀(Selvy SpeechEdu)', 영상의학과 및 응급의료센터 등 의료진의 기록업무 효율화를 위한 AI 의료 음성기록 제품 '셀비 메디보이스(Selvy MediVoice)'를 전시한다. 이외에도 △AI OCR 엔진과 문서·이미지 모델이 결합한 웹 서비스 '셀비 OCR 스튜디오 (Selvy OCR Studio)' △AI 오디오북 Editor가 탑재된 인공지능 음성 콘텐츠 제작 서비스 '오디로(odiro)' △맞춤형 디지털교과서 교수o학습 플랫폼 '셀펍(Selpub)' △고등수식과 받아쓰기 학습 기능이 추가된 AI 교육 필기 인식 솔루션 '셀비 펜(Selvy Pen)' △AI 질환 발병 확률 예측 솔루션 '셀비 체크업 (Sevly Checkup)' ▲ AI 심장초음파 촬영을 돕는 국내 유일 의료 AI 솔루션 '울트라사이트(Ultrasight)'도 출품, 관람객들이 직접 상용화 사례를 확인해 볼 수 있다. 셀바스AI 관계자는 ""그동안 AI 기술이 새로움에서 그치거나, 기존 업무 프로세스에 연계할 수 있는 구현 및 활용 전략이 분명치 않아 일부 기업에서만 활용되고 있었다""며 ""그러나 이제는 기업 규모 및 업종과 무관하게 비즈니스 현장 속 '효율화'라는 과제를 해결하는 핵심 솔루션으로 진화했다.""고 말했다. 이어 ""이번 전시회는 주요 기술 트렌드와 부합하는 다양한 AI 솔루션의 우수성과 상용화 사례, 구현 전략을 함께 소개하는 셀바스AI의 종합 쇼케이스가 될 것이다""라며 ""디지털 전환을 위해 AI 기술이 필요한 고객과 협업 기회를 만들어 나가는 자리가 되길 기대한다""고 말했다. 한편 셀바스AI는 이번 전시회에서 △온디바이스 음성 기술 △Co-Assistance(DX 도구) △디지털 교육 △의료 AI 및 디지털 헬스케어 등 총 네 개 섹션을 중심으로 상용화 사례를 선보인다. 의료, 헬스케어, 교육, 유통 및 제조, IT 등 각 비즈니스 영역에서 고객이 AI 기술을 업무 현장에 보다 효과적으로 적용 및 활용할 수 있도록 구성했다.","경제",0,"[]"
"머니투데이방송","2024-04-29","셀바스AI, AI EXPO서 On-Device 음성기술 공개…""종합 쇼케이스 될 것""","이외에도 ▲AI OCR 엔진과 문서∙이미지 모델이 결합된 웹 서비스 ‘셀비 OCR 스튜디오 (Selvy OCR Studio)’ ▲AI 오디오북 Editor가 탑재된 인공지능 음성 콘텐츠 제작 서비스 '오디로(odiro)' ▲맞춤형 디지털교과서 교수·학습 플랫폼 ‘셀펍(Selpub)’ ▲ 고등수식과 받아쓰기 학습 기능이 추가된 AI 교육...","https://news.mtn.co.kr/news-detail/2024042908405986678","",,,,,,,
"뉴스핌","2024-04-29","셀바스AI, AI EXPO서 '온디바이스' 음성기술 공개…""디지털 전환 사례 소...","이외에도 ▲AI OCR 엔진과 문서이미지 모델이 결합된 웹 서비스 '셀비 OCR 스튜디오 (Selvy OCR Studio)' ▲AI 오디오북 Editor가 탑재된 인공지능 음성 콘텐츠 제작 서비스 '오디로(odiro)' ▲맞춤형 디지털교과서 교수·학습 플랫폼 '셀펍(Selpub)' ▲ 고등수식과 받아쓰기 학습 기능이 추가된 AI 교육 필기인식...","https://www.newspim.com/news/view/20240429000100","",,,,,,,
"헬로티","2024-04-29","셀바스AI, AI EXPO서 범용적인 온디바이스 음성기술 공개","이외에도 AI OCR 엔진과 문서∙이미지 모델이 결합된 웹 서비스 ‘셀비 OCR 스튜디오’, AI 오디오북 Editor가 탑재된 인공지능 음성 콘텐츠 제작 서비스 ‘오디로’, 맞춤형 디지털교과서 교수·학습 플랫폼 ‘셀펍’, 고등수식과 받아쓰기 학습 기능이 추가된 AI 교육 필기인식 솔루션 ‘셀비 펜’, AI 질환...","https://www.hellot.net/news/article.html?no=89437","",,,,,,,
"의학신문","2024-04-29","셀바스AI, AI EXPO서 On-Device 음성기술 공개","이외에도 △AI OCR 엔진과 문서∙이미지 모델이 결합된 웹 서비스 '셀비 OCR 스튜디오' △AI 오디오북 Editor가 탑재된 인공지능 음성 콘텐츠 제작 서비스 '오디로' △맞춤형 디지털교과서 교수•학습 플랫폼 '셀펍' △고등수식과 받아쓰기 학습 기능이 추가된 AI 교육 필기인식 솔루션 '셀비 펜' △AI 질환 발병...","http://www.bosa.co.kr/news/articleView.html?idxno=2221606","",,,,,,,
"보건뉴스","2024-04-29","셀바스AI, AI EXPO서 On-Device 음성기술 공개","이외에도 △AI OCR 엔진과 문서이미지 모델이 결합된 웹 서비스 '셀비 OCR 스튜디오' △AI 오디오북 Editor가 탑재된 인공지능 음성 콘텐츠 제작 서비스 '오디로' △맞춤형 디지털교과서 교수•학습 플랫폼 '셀펍' △고등수식과 받아쓰기 학습 기능이 추가된 AI 교육 필기인식 솔루션 '셀비 펜' △AI 질환 발병...","http://www.bokuennews.com/news/article.html?no=243374","",,,,,,,
"공감신문","2024-04-29","셀바스AI, 국제인공지능대전서 '온디바이스 음성기술' 선보인다","이외에도 △AI OCR 엔진과 문서∙이미지 모델이 결합된 웹 서비스 '셀비 OCR 스튜디오 (Selvy OCR Studio)' △AI 오디오북 Editor가 탑재된 인공지능 음성 콘텐츠 제작 서비스 '오디로(odiro)' △맞춤형 디지털교과서 교수∙학습 플랫폼 '셀펍(Selpub)' △고등수식과 받아쓰기 학습 기능이 추가된 AI 교육...","https://www.gokorea.kr/news/articleView.html?idxno=753066","",,,,,,,
